G,K,kl_init,chain_sum,certified_kl,delta_equiv
30.0,659,2.4930784487304777e-09,0.09688306244222818,0.09688306493530663,0.31126044550393267
62.71666535250778,1366,2.4921634870567783e-09,0.04936835443736678,0.04936835692953027,0.2221899118536444
131.11267043128174,2844,2.490724020188321e-09,0.024597997127379454,0.024597999618103474,0.1568374942993654
274.0983158304115,5934,2.4867185095372657e-09,0.011412772303309069,0.011412774790027579,0.10683058920565579
573.0177449207298,12393,2.4917846540183567e-09,0.005272437868869376,0.00527244036065403,0.07261157180955409
1197.9254049747378,25895,2.497933251526927e-09,0.002487730028735507,0.002487732526668759,0.04987717440542075
2504.329558035599,54123,2.4982431222745114e-09,0.0012138067806945702,0.0012138092789376925,0.03483976577041947
5235.43996079041,113134,2.499536222030396e-09,0.0006042443284556154,0.0006042468279918374,0.024581432586239505
10944.97786646797,236501,2.4995937147964004e-09,0.0003036879268894887,0.0003036904264832035,0.017426715883470514
22881.0838047292,494406,2.4997441042804466e-09,0.00015439783049784272,0.000154400330241947,0.012425792942180672
47834.175862796306,1033570,2.4998910664918474e-09,7.913156122528876e-05,7.913406111635525e-05,0.008895732747579328
100000.0,2160723,2.499925078541073e-09,4.0391552456746115e-05,4.0394052381824653e-05,0.006355631548620849
