seed,bin_lo,bin_hi,n,emp,true,z
0,-3.0,-2.9,1042,0.3781190019193858,0.3776937475354538,0.028314616183758162
0,-2.9,-2.8,1398,0.4198855507868383,0.4200651973083471,-0.01360894507550651
0,-2.8,-2.7,1871,0.4393372528059861,0.4607013012632725,-1.8539415696520931
0,-2.7,-2.6,2396,0.4791318864774624,0.49659832409589677,-1.7099672420813214
0,-2.6,-2.5,3003,0.5248085248085248,0.5249124057269325,-0.01139943123579518
0,-2.5,-2.4,4038,0.5552253590886578,0.5428577158651419,1.5776163598294102
0,-2.4,-2.3,5078,0.5450964946829461,0.5482295480025081,-0.44861521976773955
0,-2.3,-2.2,6355,0.546498819826908,0.5406288279723519,0.9389961408754194
0,-2.2,-2.1,7965,0.5175141242937853,0.5210061029497822,-0.623846977482038
0,-2.1,-2.0,9994,0.498198919351611,0.4912647205409789,1.3866352786282454
0,-2.0,-1.9,12013,0.4605011237825689,0.4543123560470136,1.3623245661069125
0,-1.9,-1.7999999999999998,14422,0.41616974067397033,0.4133380423365535,0.6905785406496948
0,-1.7999999999999998,-1.7,17302,0.370477401456479,0.3711593913457872,-0.185684466151265
0,-1.7,-1.5999999999999999,20612,0.3306811566078013,0.3307451718994189,-0.019534454229973658
0,-1.5999999999999999,-1.5,24102,0.2970707825076757,0.2936379816257196,1.1701872709377705
0,-1.5,-1.4,27817,0.26124312470791244,0.2608329416797474,0.1558046124976674
0,-1.4,-1.2999999999999998,31738,0.2327808935660722,0.23301594846278,-0.09905424468920397
0,-1.2999999999999998,-1.2,36428,0.21219940704952234,0.21031201659348034,0.8839335337299408
0,-1.2,-1.0999999999999999,40988,0.18810383526885918,0.1926011365050203,-2.3089091903254855
0,-1.0999999999999999,-1.0,45803,0.1804685282623409,0.179556015049431,0.5088170748511369
0,-1.0,-0.8999999999999999,50806,0.1712789827973074,0.17084241595388636,0.26145193457518845
0,-0.8999999999999999,-0.7999999999999998,55879,0.16755847456110526,0.16627537353347172,0.8146290338796757
0,-0.7999999999999998,-0.6999999999999997,60028,0.16329046444992337,0.16571962604305765,-1.6006278055704979
0,-0.6999999999999997,-0.5999999999999996,64470,0.16931906313013806,0.16915450818092032,0.11145199882365239
0,-0.5999999999999996,-0.5,68749,0.17626438202737493,0.17666150382450718,-0.27302143530391887
0,-0.5,-0.3999999999999999,71813,0.18841992396919777,0.18850959746184712,-0.06144084687519149
0,-0.3999999999999999,-0.2999999999999998,74891,0.20501795943437795,0.20490614243555083,0.07581165168044
0,-0.2999999999999998,-0.19999999999999973,77065,0.22635437617595536,0.22612881283372802,0.14968725435369687
0,-0.19999999999999973,-0.09999999999999964,78641,0.25335384850141784,0.25250747412222246,0.5463192152384103
0,-0.09999999999999964,0.0,79789,0.2842497086064495,0.28388146480543325,0.2306991421799564
0,0.0,0.10000000000000009,79598,0.3219176361215106,0.31992543176713645,1.2049868659594969
